nom,category_id,categorie,prix_initial,prix_optimal,stock,date_expiration,jours_avant_expiration,supermarche,zone
Œufs frais,1,Produits Laitiers,17.99,,0,,,Carrefour,Tunis
Fromage fondu gouda cavalière,1,Produits Laitiers,33.5,,0,,,Carrefour,Sousse
Ricotta double crème,1,Produits Laitiers,12.5,,0,,,Carrefour,Ariana
Margarine,1,Produits Laitiers,7.39,,0,,,Carrefour,Tunis
Fromage râpé au sicilien cuit,1,Produits Laitiers,56.3,,0,,,Carrefour,Sousse
Yaourt brassé,1,Produits Laitiers,0.43,,0,,,Carrefour,Ariana
Fromage râpé au gruyere,1,Produits Laitiers,8.29,,0,,,Carrefour,Tunis
Le bleu de Lansarine,1,Produits Laitiers,60.9,,0,,,Carrefour,Sousse
Délishake,1,Produits Laitiers,1.09,,0,,,Carrefour,Ariana
Plateau Fromage fête (350g à 400g),1,Produits Laitiers,52.9,,0,,,Carrefour,Tunis
Fromage edam,1,Produits Laitiers,58.6,,0,,,Carrefour,Sousse
Fromage à raclette,1,Produits Laitiers,61.0,,0,,,Carrefour,Ariana
Fromage à raclette,1,Produits Laitiers,76.5,,0,,,Carrefour,Tunis
Mozzarella cerise,1,Produits Laitiers,50.2,,0,,,Carrefour,Sousse
Fromage sicilien demi sel,1,Produits Laitiers,39.8,,0,,,Carrefour,Ariana
Fromage gouda,1,Produits Laitiers,58.6,,0,,,Carrefour,Tunis
Fromage Primo Sale,1,Produits Laitiers,59.8,,0,,,Carrefour,Sousse
Crème dessert Toffee chocolat,1,Produits Laitiers,0.89,,0,,,Carrefour,Ariana
Fromage Gouda,1,Produits Laitiers,51.9,,0,,,Carrefour,Tunis
Fromage carré,1,Produits Laitiers,5.69,,0,,,Carrefour,Sousse
Yaourt nature nature light,1,Produits Laitiers,0.55,,0,,,Carrefour,Ariana
Yaourt aromatisé,1,Produits Laitiers,0.55,,0,,,Carrefour,Tunis
Fromage à l'emmental,1,Produits Laitiers,5.2,,0,,,Carrefour,Sousse
Fromage au cheddar,1,Produits Laitiers,5.2,,0,,,Carrefour,Ariana
Crème sucrée pour garniture de gâteaux,1,Produits Laitiers,6.89,,0,,,Carrefour,Tunis
Yaourt à boire protéiné café caramel Yopro,1,Produits Laitiers,3.99,,0,,,Carrefour,Sousse
Yaourt à boire protéiné chocolat Yopro,1,Produits Laitiers,3.99,,0,,,Carrefour,Ariana
Yaourt à boire protéiné Yopro,1,Produits Laitiers,3.99,,0,,,Carrefour,Tunis
Yaourt à boire protéiné vanille cookies Yopro,1,Produits Laitiers,3.99,,0,,,Carrefour,Sousse
Yaourt à boire protéiné fraise framboise Yopro,1,Produits Laitiers,3.99,,0,,,Carrefour,Ariana
Yaourt à boire protéiné nature Yopro,1,Produits Laitiers,3.99,,0,,,Carrefour,Tunis
Œufs frais,1,Produits Laitiers,12.55,,0,,,Carrefour,Ariana
Fromage cavaliere edam,1,Produits Laitiers,33.5,,0,,,Carrefour,Tunis
Fromage cavaliere gouda,1,Produits Laitiers,43.6,,0,,,Carrefour,Sousse
Lait concentré sucré,1,Produits Laitiers,12.69,,0,,,Carrefour,Ariana
Yaourt à boire proteiné,1,Produits Laitiers,3.19,,0,,,Carrefour,Tunis
Yaourt brassé aux fruits jaunes et aux céréales,1,Produits Laitiers,1.08,,0,,,Carrefour,Sousse
Yaourt brassé aux fruits rouges et aux céréales,1,Produits Laitiers,1.08,,0,,,Carrefour,Ariana
Fromage ricotta,1,Produits Laitiers,3.02,,0,,,Carrefour,Tunis
Boisson lactée Danao au jus de pêche abricot,1,Produits Laitiers,0.89,,0,,,Carrefour,Sousse
Fromage frais Croc'lait,1,Produits Laitiers,3.49,,0,,,Carrefour,Ariana
Fromage mozzarella cerise,1,Produits Laitiers,64.2,,0,,,Carrefour,Tunis
Pack de yaourts aromatisés,1,Produits Laitiers,6.34,,0,,,Carrefour,Sousse
Yaourt brassé Blendy,1,Produits Laitiers,1.11,,0,,,Carrefour,Ariana
Yaourt à la grecque Oikos,1,Produits Laitiers,0.96,,0,,,Carrefour,Tunis
Yaourt aromatisé aux fruits,1,Produits Laitiers,0.84,,0,,,Carrefour,Sousse
Yaourt à boire,1,Produits Laitiers,2.0,,0,,,Carrefour,Tunis
Yaourt aromatisé Mamzouj,1,Produits Laitiers,0.43,,0,,,Carrefour,Sousse
Milkshake Déli Shake,1,Produits Laitiers,1.07,,0,,,Carrefour,Tunis
Yaourt à boire Danup,1,Produits Laitiers,1.2,,0,,,Carrefour,Sousse
Yaourt à boire Danup,1,Produits Laitiers,0.95,,0,,,Carrefour,Ariana
Yaourt brassé Mamzouj,1,Produits Laitiers,0.6,,0,,,Carrefour,Tunis
Boisson lactée au jus de pêche et abricot,1,Produits Laitiers,1.24,,0,,,Carrefour,Sousse
Yaourt à boire à banane,1,Produits Laitiers,1.22,,0,,,Carrefour,Ariana
Yaourt à boire à banane,1,Produits Laitiers,0.96,,0,,,Carrefour,Tunis
Pack yaourt Ananas et fruits secs,1,Produits Laitiers,6.62,,0,,,Carrefour,Sousse
Pack yaourt nature,1,Produits Laitiers,5.29,,0,,,Carrefour,Ariana
Pack yaourt bifi 0% matière grasse,1,Produits Laitiers,5.59,,0,,,Carrefour,Tunis
