nom,category_id,categorie,prix_initial,prix_optimal,stock,date_expiration,jours_avant_expiration,supermarche,zone
Œufs frais,1,Produits Laitiers,17.99,12.233,121,2026-02-27,5,Carrefour,Tunis
Fromage fondu gouda cavalière,1,Produits Laitiers,33.5,30.82,109,2026-03-05,11,Carrefour,Sousse
Ricotta double crème,1,Produits Laitiers,12.5,12.5,24,2026-03-07,13,Carrefour,Ariana
Margarine,1,Produits Laitiers,7.39,6.799,74,2026-03-05,11,Carrefour,Tunis
Fromage râpé au sicilien cuit,1,Produits Laitiers,56.3,22.52,19,2026-02-23,1,Carrefour,Sousse
Yaourt brassé,1,Produits Laitiers,0.43,0.396,69,2026-03-04,10,Carrefour,Ariana
Fromage râpé au gruyere,1,Produits Laitiers,8.29,7.627,107,2026-03-04,10,Carrefour,Tunis
Le bleu de Lansarine,1,Produits Laitiers,60.9,24.36,58,2026-02-23,1,Carrefour,Sousse
Délishake,1,Produits Laitiers,1.09,1.003,84,2026-03-03,9,Carrefour,Ariana
Plateau Fromage fête (350g à 400g),1,Produits Laitiers,52.9,48.668,137,2026-03-04,10,Carrefour,Tunis
Fromage edam,1,Produits Laitiers,58.6,53.912,56,2026-03-03,9,Carrefour,Sousse
Fromage à raclette,1,Produits Laitiers,61.0,48.8,46,2026-02-28,6,Carrefour,Ariana
Fromage à raclette,1,Produits Laitiers,76.5,30.6,50,2026-02-24,2,Carrefour,Tunis
Mozzarella cerise,1,Produits Laitiers,50.2,50.2,20,2026-03-08,14,Carrefour,Sousse
Fromage sicilien demi sel,1,Produits Laitiers,39.8,27.064,41,2026-02-27,5,Carrefour,Ariana
Fromage gouda,1,Produits Laitiers,58.6,46.88,18,2026-03-02,8,Carrefour,Tunis
Fromage Primo Sale,1,Produits Laitiers,59.8,59.8,55,2026-03-08,14,Carrefour,Sousse
Crème dessert Toffee chocolat,1,Produits Laitiers,0.89,0.605,107,2026-02-27,5,Carrefour,Ariana
Fromage Gouda,1,Produits Laitiers,51.9,41.52,126,2026-03-01,7,Carrefour,Tunis
Fromage carré,1,Produits Laitiers,5.69,3.869,104,2026-02-27,5,Carrefour,Sousse
Yaourt nature nature light,1,Produits Laitiers,0.55,0.44,104,2026-02-28,6,Carrefour,Ariana
Yaourt aromatisé,1,Produits Laitiers,0.55,0.374,56,2026-02-27,5,Carrefour,Tunis
Fromage à l'emmental,1,Produits Laitiers,5.2,4.784,111,2026-03-04,10,Carrefour,Sousse
Fromage au cheddar,1,Produits Laitiers,5.2,4.16,15,2026-02-28,6,Carrefour,Ariana
Crème sucrée pour garniture de gâteaux,1,Produits Laitiers,6.89,4.685,36,2026-02-27,5,Carrefour,Tunis
Yaourt à boire protéiné café caramel Yopro,1,Produits Laitiers,3.99,2.713,85,2026-02-27,5,Carrefour,Sousse
Yaourt à boire protéiné chocolat Yopro,1,Produits Laitiers,3.99,3.99,140,2026-03-07,13,Carrefour,Ariana
Yaourt à boire protéiné Yopro,1,Produits Laitiers,3.99,3.99,86,2026-03-07,13,Carrefour,Tunis
Yaourt à boire protéiné vanille cookies Yopro,1,Produits Laitiers,3.99,3.192,120,2026-03-01,7,Carrefour,Sousse
Yaourt à boire protéiné fraise framboise Yopro,1,Produits Laitiers,3.99,3.192,98,2026-03-02,8,Carrefour,Ariana
Yaourt à boire protéiné nature Yopro,1,Produits Laitiers,3.99,3.99,112,2026-03-07,13,Carrefour,Tunis
Œufs frais,1,Produits Laitiers,12.55,8.534,93,2026-02-26,4,Carrefour,Ariana
Fromage cavaliere edam,1,Produits Laitiers,33.5,26.8,136,2026-03-01,7,Carrefour,Tunis
